"unit_number","user_email","tower","lantai","unit"
"B-20-9","Moriah.Will73@yahoo.com","B","20","9"
"B-21-11","Kian24@gmail.com","B","21","11"
"B-21-16","Irwin.Runolfsdottir49@hotmail.com","B","21","16"
"B-21-17","Armani68@yahoo.com","B","21","17"
"B-21-4","Ollie.Wilderman@hotmail.com","B","21","4"
"B-21-9","Ena_Hartmann34@gmail.com","B","21","9"
"B-22-20","pkj@gmail.com","B","22","20"
"B-22-22","Keeley.Kuhic84@yahoo.com","B","22","22"
"B-22-23","Donavon77@gmail.com","B","22","23"
"B-22-29","Renee92@gmail.com","B","22","29"
"B-23-10","April39@gmail.com","B","23","10"
"B-23-17","Donavon77@gmail.com","B","23","17"
"B-23-18","Angeline.Ankunding@gmail.com","B","23","18"
"B-23-19","Shana.Metz@hotmail.com","B","23","19"
"B-23-21","Ena_Hartmann34@gmail.com","B","23","21"
"B-23-22","Shaun94@gmail.com","B","23","22"
"B-23-25","Tanya.Effertz-Hane@hotmail.com","B","23","25"
"B-23-27","Eveline71@gmail.com","B","23","27"
"B-23-3","Eveline71@gmail.com","B","23","3"
"B-23-4","Carmella66@gmail.com","B","23","4"
"B-23-9","Jeffrey_Olson@gmail.com","B","23","9"
"B-24-12","Angeline.Ankunding@gmail.com","B","24","12"
"B-24-16","Hortense.Crona@gmail.com","B","24","16"
"B-24-18","Ian10@hotmail.com","B","24","18"
"B-24-19","Boris99@hotmail.com","B","24","19"
"B-24-24","Tyree5@gmail.com","B","24","24"
"B-24-28","Amy_Kuhn34@hotmail.com","B","24","28"
"B-25-17","Kian24@gmail.com","B","25","17"
"B-25-26","Jalon31@yahoo.com","B","25","26"
"B-25-29","Darrion_Wisoky41@hotmail.com","B","25","29"
"B-25-3","Jaime.Murazik28@hotmail.com","B","25","3"
"B-25-4","Darrion_Wisoky41@hotmail.com","B","25","4"
"B-25-7","Luciano.Bogan98@gmail.com","B","25","7"
"B-25-8","Shaun94@gmail.com","B","25","8"
"B-25-9","pkj@gmail.com","B","25","9"
"B-3-11","Jalon31@yahoo.com","B","3","11"
"B-3-19","Jaime.Murazik28@hotmail.com","B","3","19"
"B-3-21","Anabelle67@hotmail.com","B","3","21"
"B-3-23","Rory.Hane-Hayes20@hotmail.com","B","3","23"
"B-3-26","Ian10@hotmail.com","B","3","26"
"B-3-27","Onie87@hotmail.com","B","3","27"
"B-3-28","Jeffrey_Olson@gmail.com","B","3","28"
"B-3-4","pkj@gmail.com","B","3","4"
"B-3-6","Vladimir58@yahoo.com","B","3","6"
"B-3-8","Renee92@gmail.com","B","3","8"
"B-4-12","April39@gmail.com","B","4","12"
"B-4-23","Yadira.Labadie22@yahoo.com","B","4","23"
"B-4-24","Keeley.Kuhic84@yahoo.com","B","4","24"
"B-4-25","Yadira.Labadie22@yahoo.com","B","4","25"
"B-4-27","Shane54@gmail.com","B","4","27"
"B-4-28","Irwin.Runolfsdottir49@hotmail.com","B","4","28"
"B-4-30","Ashton97@hotmail.com","B","4","30"
"B-4-5","Dejuan5@yahoo.com","B","4","5"
"B-4-9","Ashton97@hotmail.com","B","4","9"
"B-5-1","Edwin.Bosco@gmail.com","B","5","1"
"B-5-10","Laverne.Schaefer@hotmail.com","B","5","10"
"B-5-17","Edwin.Bosco@gmail.com","B","5","17"
"B-5-18","Robyn48@hotmail.com","B","5","18"
"B-5-22","Edwin.Bosco@gmail.com","B","5","22"
"B-5-3","Darrion_Wisoky41@hotmail.com","B","5","3"
"B-5-30","pkj@gmail.com","B","5","30"
"B-5-4","Keeley.Kuhic84@yahoo.com","B","5","4"
"B-5-5","Kian24@gmail.com","B","5","5"
"B-5-7","Percy.Steuber@gmail.com","B","5","7"
"B-5-9","Mallory20@hotmail.com","B","5","9"
"B-6-1","Boris99@hotmail.com","B","6","1"
"B-6-12","Ryder8@hotmail.com","B","6","12"
"B-6-17","ketua_agen@gmail.com","B","6","17"
"B-6-20","Percy.Steuber@gmail.com","B","6","20"
"B-6-23","Eveline71@gmail.com","B","6","23"
"B-6-3","Yadira.Labadie22@yahoo.com","B","6","3"
"B-6-6","Mallory20@hotmail.com","B","6","6"
"B-7-1","Ian10@hotmail.com","B","7","1"
"B-7-10","Shaun94@gmail.com","B","7","10"
"B-7-12","Seamus79@gmail.com","B","7","12"
"B-7-14","Darrion_Wisoky41@hotmail.com","B","7","14"
"B-7-15","Keeley.Kuhic84@yahoo.com","B","7","15"
"B-7-17","Keeley.Kuhic84@yahoo.com","B","7","17"
"B-7-20","Irwin.Runolfsdottir49@hotmail.com","B","7","20"
"B-7-29","Mallory20@hotmail.com","B","7","29"
"B-7-30","Paula91@yahoo.com","B","7","30"
"B-7-4","Shana.Metz@hotmail.com","B","7","4"
"B-7-5","Troy_Cruickshank@gmail.com","B","7","5"
"B-8-11","Amy_Kuhn34@hotmail.com","B","8","11"
"B-8-12","Carmella66@gmail.com","B","8","12"
"B-8-18","Ena_Hartmann34@gmail.com","B","8","18"
"B-8-27","Angeline.Ankunding@gmail.com","B","8","27"
"B-8-28","Ena_Hartmann34@gmail.com","B","8","28"
"B-8-3","Anabelle67@hotmail.com","B","8","3"
"B-8-30","Jaime.Murazik28@hotmail.com","B","8","30"
"B-8-6","Paula91@yahoo.com","B","8","6"
"B-9-11","Renee92@gmail.com","B","9","11"
"B-9-12","ketua_agen@gmail.com","B","9","12"
"B-9-13","Dejuan5@yahoo.com","B","9","13"
"B-9-20","Shane54@gmail.com","B","9","20"
"B-9-21","Irwin.Runolfsdottir49@hotmail.com","B","9","21"
"B-9-22","Ryder8@hotmail.com","B","9","22"
"B-9-26","Ashton97@hotmail.com","B","9","26"
"B-9-28","Moriah.Will73@yahoo.com","B","9","28"
"C-1-1","Ian10@hotmail.com","C","1","1"
"C-1-13","Ollie.Wilderman@hotmail.com","C","1","13"
"C-1-18","Irwin.Runolfsdottir49@hotmail.com","C","1","18"
"C-1-24","Jaime.Murazik28@hotmail.com","C","1","24"
"C-1-3","Jeffrey_Olson@gmail.com","C","1","3"
"C-1-30","Darrion_Wisoky41@hotmail.com","C","1","30"
"C-1-7","Anabelle67@hotmail.com","C","1","7"
"C-1-8","Lisandro_Armstrong59@yahoo.com","C","1","8"
"C-10-10","Jalon31@yahoo.com","C","10","10"
"C-10-23","Robyn48@hotmail.com","C","10","23"
"C-10-30","Alia15@hotmail.com","C","10","30"
"C-10-4","Hortense.Crona@gmail.com","C","10","4"
"C-10-6","Paula91@yahoo.com","C","10","6"
"C-11-10","Nicola22@yahoo.com","C","11","10"
"C-11-15","Alia15@hotmail.com","C","11","15"
"C-11-16","April39@gmail.com","C","11","16"
"C-11-3","Rory.Hane-Hayes20@hotmail.com","C","11","3"
"C-11-4","Bell_Pouros-Dach2@yahoo.com","C","11","4"
"C-11-6","ketua_agen@gmail.com","C","11","6"
"C-12-10","Edwin.Bosco@gmail.com","C","12","10"
"C-12-11","Anabelle67@hotmail.com","C","12","11"
"C-12-14","Ollie.Wilderman@hotmail.com","C","12","14"
"C-12-25","Armani68@yahoo.com","C","12","25"
"C-12-4","Jeffrey_Olson@gmail.com","C","12","4"
"C-13-14","Felton.Schamberger@yahoo.com","C","13","14"
"C-13-15","Vladimir58@yahoo.com","C","13","15"
"C-13-17","Renee92@gmail.com","C","13","17"
"C-13-2","Moriah.Will73@yahoo.com","C","13","2"
"C-13-21","Luciano.Bogan98@gmail.com","C","13","21"
"C-13-23","Jeffrey_Olson@gmail.com","C","13","23"
"C-13-25","pkj@gmail.com","C","13","25"
"C-13-3","Dejuan5@yahoo.com","C","13","3"
"C-14-15","Ollie.Wilderman@hotmail.com","C","14","15"
"C-14-19","Alia15@hotmail.com","C","14","19"
"C-14-2","Amy_Kuhn34@hotmail.com","C","14","2"
"C-14-21","Alia15@hotmail.com","C","14","21"
"C-14-28","Ashton97@hotmail.com","C","14","28"
"C-14-29","Percy.Steuber@gmail.com","C","14","29"
"C-14-6","Anabelle67@hotmail.com","C","14","6"
"C-14-8","Jalon31@yahoo.com","C","14","8"
"C-14-9","Dejuan5@yahoo.com","C","14","9"
"C-15-11","Jeffrey_Olson@gmail.com","C","15","11"
"C-15-12","April39@gmail.com","C","15","12"
"C-15-2","Donavon77@gmail.com","C","15","2"
"C-15-21","Shana.Metz@hotmail.com","C","15","21"
"C-15-25","Laverne.Schaefer@hotmail.com","C","15","25"
"C-15-30","Troy_Cruickshank@gmail.com","C","15","30"
"C-15-6","Felton.Schamberger@yahoo.com","C","15","6"
"C-16-1","Troy_Cruickshank@gmail.com","C","16","1"
"C-16-10","Ryder8@hotmail.com","C","16","10"
"C-16-13","Hortense.Crona@gmail.com","C","16","13"
"C-16-17","Moriah.Will73@yahoo.com","C","16","17"
"C-16-18","Jaime.Murazik28@hotmail.com","C","16","18"
"C-16-23","Laverne.Schaefer@hotmail.com","C","16","23"
"C-16-25","Luciano.Bogan98@gmail.com","C","16","25"
"C-16-27","Onie87@hotmail.com","C","16","27"
"C-16-29","Rory.Hane-Hayes20@hotmail.com","C","16","29"
"C-16-3","Kian24@gmail.com","C","16","3"
"C-16-30","Yadira.Labadie22@yahoo.com","C","16","30"
"C-17-1","Bell_Pouros-Dach2@yahoo.com","C","17","1"
"C-17-11","Rory.Hane-Hayes20@hotmail.com","C","17","11"
"C-17-15","Shaun94@gmail.com","C","17","15"
"C-17-16","Earnestine.Dooley89@yahoo.com","C","17","16"
"C-17-17","Donavon77@gmail.com","C","17","17"
"C-17-18","Luciano.Bogan98@gmail.com","C","17","18"
"C-17-2","pkj@gmail.com","C","17","2"
"C-17-20","Carmella66@gmail.com","C","17","20"
"C-17-22","Nicola22@yahoo.com","C","17","22"
"C-17-24","Dejuan5@yahoo.com","C","17","24"
"C-17-26","Mallory20@hotmail.com","C","17","26"
"C-17-27","Mallory20@hotmail.com","C","17","27"
"C-17-28","Alia15@hotmail.com","C","17","28"
"C-18-10","Ian10@hotmail.com","C","18","10"
"C-18-15","p3srs@gmail.com","C","18","15"
"C-18-17","Renee92@gmail.com","C","18","17"
"C-18-19","Boris99@hotmail.com","C","18","19"
"C-18-20","Renee92@gmail.com","C","18","20"
"C-18-21","Armani68@yahoo.com","C","18","21"
"C-18-22","Eveline71@gmail.com","C","18","22"
"C-18-23","Darrion_Wisoky41@hotmail.com","C","18","23"
"C-18-24","Alia15@hotmail.com","C","18","24"
"C-18-25","Darrion_Wisoky41@hotmail.com","C","18","25"
"C-18-26","Percy.Steuber@gmail.com","C","18","26"
"C-18-27","Ian10@hotmail.com","C","18","27"
