"id","nama","nik","status_pasutri","status_kewarganegaraan","jenis_sewa","unit_number","metode_pembayaran","metode_lain","tanggal_checkin","waktu_checkin","tanggal_checkout","waktu_checkout","lama_menginap","komentar","user_email","diedit_oleh","created_at","classification"
"40","Donna Moen","5149386712856297","Belum Menikah","WNA","Mingguan","B-5-10","Kartu Kredit",NULL,"2024-08-19","18:09:00","2024-09-09","10:48:00","21",NULL,"Laverne.Schaefer@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"41","Hope Cremin","3354056304042757","Belum Menikah","WNA","Harian","B-20-4","Others","dana","2018-12-07","18:40:00","2018-12-09","07:32:00","2",NULL,"Mallory20@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"42","Gregg Schneider","3103852312824884","Belum Menikah","WNI","Mingguan","B-4-25","QRIS",NULL,"2010-01-20","18:00:00","2010-01-27","09:27:00","7",NULL,"Yadira.Labadie22@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"43","Bonnie Predovic","3265875007927822","Belum Menikah","WNI","Mingguan","D-16-8","Cash",NULL,"2011-12-28","20:51:00","2012-01-04","09:05:00","7",NULL,"pkj@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"44","Felicia Zieme-Waelchi","3666434505721596","Belum Menikah","WNA","Bulanan","B-5-17","Others","crypto","2015-09-09","14:51:00","2015-10-09","07:46:00","30",NULL,"Edwin.Bosco@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"45","Heidi Schinner","3202984102064592","Belum Menikah","WNA","Mingguan","C-22-30","QRIS",NULL,"2019-11-03","15:56:00","2019-11-17","12:47:00","14",NULL,"Ryder8@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"46","Herbert Kreiger","3611650503053327","Belum Menikah","WNI","Harian","A-12-21","QRIS",NULL,"2022-06-01","17:24:00","2022-06-01","02:24:00","0",NULL,"Shaun94@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"47","Sadie Rath","5137225610655418","Menikah","WNA","Mingguan","B-23-22","Cash",NULL,"2018-02-18","20:16:00","2018-03-04","10:18:00","14",NULL,"Shaun94@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"48","Courtney Stracke","3570566510848643","Menikah","WNI","Harian","C-18-23","Cash",NULL,"2010-05-22","17:32:00","2010-05-27","10:12:00","5",NULL,"Darrion_Wisoky41@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"49","Terry Beatty","3228096407764120","Belum Menikah","WNA","Mingguan","B-10-24","Kartu Debit",NULL,"2016-11-11","14:41:00","2016-11-25","10:36:00","14",NULL,"Nicola22@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"50","Guy Mills","5125661202843142","Belum Menikah","WNI","Bulanan","A-25-11","QRIS",NULL,"2025-02-07","20:06:00","2025-06-07","12:58:00","120",NULL,"Ian10@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"51","Rochelle Shanahan","5169806606861281","Menikah","WNI","Bulanan","B-8-30","Kartu Kredit",NULL,"2024-09-15","13:44:00","2024-12-14","08:09:00","90",NULL,"Jaime.Murazik28@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"52","Alice Howell","3229866301745732","Belum Menikah","WNI","Bulanan","C-8-9","Others","ovo","2013-10-25","18:26:00","2014-03-24","09:33:00","150",NULL,"Bell_Pouros-Dach2@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"53","Patrick West","3503862807656310","Menikah","WNA","Bulanan","D-15-21","Cash",NULL,"2012-11-04","13:11:00","2012-12-04","11:38:00","30",NULL,"Amy_Kuhn34@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"54","Rachael Feest","3184224405694441","Belum Menikah","WNI","Mingguan","A-6-7","Cash",NULL,"2020-10-10","15:38:00","2020-10-24","11:02:00","14",NULL,"Earnestine.Dooley89@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"55","Nellie Rippin","3641165903801941","Menikah","WNI","Harian","A-3-13","Kartu Debit",NULL,"2011-10-17","15:59:00","2011-10-23","12:53:00","6",NULL,"Houston.Labadie@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"56","Jo Ortiz","5172345507798727","Menikah","WNI","Mingguan","A-4-30","Kartu Kredit",NULL,"2020-03-07","18:19:00","2020-03-28","11:41:00","21",NULL,"Rory.Hane-Hayes20@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"57","Felipe Legros","3297250601923228","Belum Menikah","WNI","Bulanan","D-23-18","Others","paylater","2022-05-28","20:45:00","2022-08-26","12:03:00","90",NULL,"Nicola22@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"58","Noel Abernathy","5158131308882050","Belum Menikah","WNI","Mingguan","A-22-2","Others","crypto","2010-03-16","17:00:00","2010-03-30","07:44:00","14",NULL,"Lisandro_Armstrong59@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"59","Estelle Hermiston","3148895907954149","Belum Menikah","WNI","Harian","B-24-24","Kartu Debit",NULL,"2018-01-04","16:33:00","2018-01-07","07:48:00","3",NULL,"Tyree5@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"60","Maria Ortiz","3516836501054128","Belum Menikah","WNI","Mingguan","B-10-4","QRIS",NULL,"2025-06-08","14:58:00","2025-06-29","11:43:00","21",NULL,"Armani68@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"61","Jackie Hickle","3676964306978662","Belum Menikah","WNI","Harian","A-22-23","Kartu Kredit",NULL,"2012-06-16","08:36:00","2012-06-16","14:36:00","0",NULL,"Paula91@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"62","Willie Bernier","3480820706047962","Menikah","WNI","Mingguan","B-10-28","Kartu Kredit",NULL,"2025-01-09","18:51:00","2025-01-16","12:03:00","7",NULL,"Ena_Hartmann34@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"63","Alice Buckridge","5152445302833522","Belum Menikah","WNA","Bulanan","B-18-4","Others","shopeepay","2017-07-31","15:12:00","2017-12-28","10:55:00","150",NULL,"Paula91@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"64","Karla O'Connell","3567525606801977","Menikah","WNA","Harian","B-1-16","Cash",NULL,"2022-07-08","19:08:00","2022-07-14","12:02:00","6",NULL,"Angeline.Ankunding@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"65","Lori Kohler","3165816203922448","Belum Menikah","WNI","Mingguan","C-14-21","Others","paylater","2017-11-07","17:04:00","2017-11-21","07:58:00","14",NULL,"Alia15@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"66","Keith Mueller","5143901003872433","Menikah","WNA","Mingguan","D-25-29","Kartu Debit",NULL,"2023-09-15","13:58:00","2023-09-29","09:41:00","14",NULL,"Ryder8@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"67","Darrel Treutel","3697591510806318","Belum Menikah","WNA","Bulanan","C-17-22","Kartu Debit",NULL,"2013-04-28","19:45:00","2013-08-26","08:11:00","120",NULL,"Nicola22@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"68","Leonard Ritchie","3106683110886762","Menikah","WNA","Bulanan","D-23-28","Others","dana","2018-02-22","18:01:00","2018-04-23","08:21:00","60",NULL,"Laverne.Schaefer@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"69","Chad Toy","3599352806937943","Belum Menikah","WNA","Bulanan","C-10-10","QRIS",NULL,"2021-10-19","15:01:00","2022-03-18","10:19:00","150",NULL,"Jalon31@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"70","Sherri Ryan","3421636205743722","Belum Menikah","WNI","Mingguan","A-18-21","Kartu Debit",NULL,"2010-05-25","17:25:00","2010-06-15","09:41:00","21",NULL,"April39@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"71","Toby Altenwerth","3439530511078065","Menikah","WNA","Bulanan","D-9-17","Kartu Kredit",NULL,"2014-03-06","17:22:00","2014-06-04","11:00:00","90",NULL,"Eveline71@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"72","Jeff Daniel","3159370310872048","Belum Menikah","WNI","Mingguan","C-5-12","Kartu Kredit",NULL,"2025-02-16","17:36:00","2025-03-02","11:25:00","14",NULL,"Onie87@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"73","Nelson Mraz","3626011001881442","Belum Menikah","WNA","Harian","B-4-27","Cash",NULL,"2012-08-16","18:53:00","2012-08-21","11:13:00","5",NULL,"Shane54@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"74","Rose Reynolds","3104835205810837","Belum Menikah","WNA","Bulanan","A-21-5","Others","gopay","2018-07-24","15:31:00","2018-12-21","07:02:00","150",NULL,"Tyree5@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"75","Verna Schiller","3422815604841966","Belum Menikah","WNI","Bulanan","D-8-8","QRIS",NULL,"2011-12-03","13:28:00","2012-03-02","09:03:00","90",NULL,"Robyn48@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"76","Jack Schiller","3502652406871271","Menikah","WNA","Mingguan","D-16-30","QRIS",NULL,"2013-12-29","19:38:00","2014-01-12","09:15:00","14",NULL,"Shane54@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"77","Kristin Jast","3382055008734624","Belum Menikah","WNI","Bulanan","D-19-3","Kartu Kredit",NULL,"2024-06-10","13:41:00","2024-08-09","10:29:00","60",NULL,"Irwin.Runolfsdottir49@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"78","Alison Paucek","3263866711761132","Belum Menikah","WNI","Harian","A-10-18","QRIS",NULL,"2015-03-22","18:35:00","2015-03-27","10:33:00","5",NULL,"Percy.Steuber@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"79","Erma Schulist","3424356004964288","Belum Menikah","WNA","Harian","D-25-10","Cash",NULL,"2014-09-22","15:34:00","2014-09-28","11:24:00","6",NULL,"Kian24@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"80","Mona Collier","3158574805825323","Menikah","WNA","Mingguan","D-11-20","Cash",NULL,"2023-10-05","19:39:00","2023-10-19","11:10:00","14",NULL,"Alia15@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"81","Marie Quitzon","3504145001802911","Belum Menikah","WNA","Mingguan","D-5-3","Cash",NULL,"2021-10-14","16:14:00","2021-10-21","11:32:00","7",NULL,"Bell_Pouros-Dach2@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"82","Marianne Kassulke","3550344812719891","Menikah","WNA","Bulanan","B-4-28","Others","linkaja","2011-02-19","18:51:00","2011-04-20","12:42:00","60",NULL,"Irwin.Runolfsdottir49@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"83","April Paucek-Homenick","3647986103834676","Belum Menikah","WNI","Mingguan","B-16-24","QRIS",NULL,"2019-12-31","18:07:00","2020-01-07","09:20:00","7",NULL,"Anabelle67@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"84","Ann Weber","3471815010864855","Belum Menikah","WNI","Bulanan","C-24-3","Kartu Debit",NULL,"2020-08-15","19:55:00","2021-01-12","09:16:00","150",NULL,"Felton.Schamberger@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"85","Marco Lynch","3321870112707803","Menikah","WNI","Harian","B-1-16","QRIS",NULL,"2021-12-20","19:28:00","2021-12-22","10:22:00","2",NULL,"Angeline.Ankunding@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"86","Cecil Luettgen","3240701011036392","Menikah","WNI","Harian","C-10-10","Others","ovo","2011-08-28","17:31:00","2011-09-01","08:19:00","4",NULL,"Jalon31@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"87","Dorothy Batz","3568744111948985","Menikah","WNA","Mingguan","A-22-13","QRIS",NULL,"2014-03-28","19:45:00","2014-04-18","11:47:00","21",NULL,"Hortense.Crona@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"88","Dawn Walsh","3206216312713375","Menikah","WNI","Harian","A-2-19","Kartu Kredit",NULL,"2010-06-06","13:49:00","2010-06-12","09:32:00","6",NULL,"Robyn48@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"89","Gary Heaney","3242321712898416","Belum Menikah","WNA","Harian","B-9-20","QRIS",NULL,"2022-04-02","17:37:00","2022-04-04","12:04:00","2",NULL,"Shane54@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"90","Gabriel Hackett","3606642401057756","Menikah","WNA","Mingguan","C-7-10","QRIS",NULL,"2025-06-03","17:16:00","2025-06-10","08:54:00","7",NULL,"Mallory20@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"91","Marta Haley","3685584507687248","Belum Menikah","WNI","Harian","C-17-24","Kartu Kredit",NULL,"2018-12-18","18:01:00","2018-12-21","07:21:00","3",NULL,"Dejuan5@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"92","Alexander West","3434421006693592","Belum Menikah","WNA","Mingguan","A-9-7","Kartu Debit",NULL,"2020-02-19","15:20:00","2020-02-26","12:36:00","7",NULL,"Edwin.Bosco@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"93","Lula Ankunding","3514307003664033","Belum Menikah","WNI","Mingguan","B-2-17","QRIS",NULL,"2025-11-28","20:02:00","2025-12-12","08:32:00","14",NULL,"Luciano.Bogan98@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"94","Kenny Green","3468110206960554","Menikah","WNA","Bulanan","A-13-14","Kartu Debit",NULL,"2017-10-23","14:15:00","2018-03-22","08:50:00","150",NULL,"Carmella66@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"95","Karl Rau","3284482210719609","Belum Menikah","WNA","Mingguan","A-16-22","QRIS",NULL,"2011-11-15","17:25:00","2011-12-06","08:28:00","21",NULL,"Moriah.Will73@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"96","Salvador Breitenberg","3261721806766696","Menikah","WNI","Harian","A-23-15","Kartu Debit",NULL,"2014-03-20","18:25:00","2014-03-26","07:57:00","6",NULL,"Troy_Cruickshank@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"97","Lloyd Hayes-Zulauf","3428002401861199","Menikah","WNI","Mingguan","B-3-28","Cash",NULL,"2021-02-08","19:09:00","2021-02-22","10:33:00","14",NULL,"Jeffrey_Olson@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"98","Gregg Goldner","3162563112808392","Menikah","WNA","Mingguan","A-24-23","Kartu Kredit",NULL,"2017-11-10","13:16:00","2017-11-24","11:40:00","14",NULL,"Armani68@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"99","Grace Keebler","3313467011032814","Belum Menikah","WNA","Mingguan","C-3-20","Kartu Kredit",NULL,"2023-01-09","19:46:00","2023-01-30","10:03:00","21",NULL,"Tanya.Effertz-Hane@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"100","Cecelia Langosh","3393655804856256","Menikah","WNI","Mingguan","B-3-28","Cash",NULL,"2019-11-12","16:45:00","2019-11-19","10:53:00","7",NULL,"Jeffrey_Olson@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"101","Morris Okuneva","3538941510751631","Menikah","WNI","Bulanan","A-20-4","Others","gopay","2017-05-07","19:23:00","2017-07-06","10:42:00","60",NULL,"Houston.Labadie@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"102","Lucy Hermann","3170184510985349","Menikah","WNI","Mingguan","A-20-28","QRIS",NULL,"2020-07-02","15:15:00","2020-07-09","12:10:00","7",NULL,"Eveline71@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"103","Marta Sporer","3139424502827053","Menikah","WNA","Harian","C-25-30","Others","shopeepay","2023-09-04","22:58:00","2023-09-05","08:58:00","1",NULL,"ketua_agen@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"104","Wesley Hand","5162442206051310","Belum Menikah","WNA","Mingguan","B-20-28","Kartu Debit",NULL,"2018-04-06","15:42:00","2018-04-20","08:08:00","14",NULL,"Felton.Schamberger@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"105","Lindsay Rowe-Wyman","3538764405705415","Menikah","WNA","Mingguan","D-16-27","Kartu Debit",NULL,"2014-11-08","15:31:00","2014-11-22","11:27:00","14",NULL,"Tyree5@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"106","Mabel Kirlin","3660745804809327","Menikah","WNI","Mingguan","B-20-29","Kartu Kredit",NULL,"2020-12-05","13:56:00","2020-12-26","08:41:00","21",NULL,"Bell_Pouros-Dach2@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"107","Caleb Skiles","3101161009947950","Belum Menikah","WNI","Bulanan","D-2-1","Others","gopay","2021-11-11","16:20:00","2021-12-11","10:36:00","30",NULL,"Anabelle67@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"108","Timothy Rolfson","3242700606833994","Belum Menikah","WNA","Mingguan","C-25-15","QRIS",NULL,"2016-06-13","15:54:00","2016-06-20","08:41:00","7",NULL,"Shana.Metz@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"109","Levi Schmidt","3201602308943666","Menikah","WNI","Harian","B-19-16","QRIS",NULL,"2015-09-09","15:03:00","2015-09-14","10:07:00","5",NULL,"Lisandro_Armstrong59@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"110","Angie Parisian","3566604911802644","Belum Menikah","WNI","Bulanan","A-13-26","Kartu Debit",NULL,"2017-03-26","18:09:00","2017-05-25","07:45:00","60",NULL,"Moriah.Will73@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"111","Alex Hamill","3252942102825580","Belum Menikah","WNA","Harian","D-8-7","Kartu Debit",NULL,"2017-11-07","09:26:00","2017-11-07","14:26:00","0","Terpantau adanya tamu yang keluar masuk pada malam hari","Shana.Metz@hotmail.com",NULL,"2025-12-08 19:13:06","tidak normal"
"112","Marsha Howe","3114887008831131","Belum Menikah","WNI","Mingguan","C-13-17","QRIS",NULL,"2020-10-30","16:42:00","2020-11-20","08:51:00","21",NULL,"Renee92@gmail.com",NULL,"2025-12-08 19:13:06","normal"
